T_r (-),p_r (-),omega (-),p_c (Pa),T_c (K),mu ((J*m^3/kmol)^0.5),Z (-),phi (-),no
0.6583683837474194,0.024145100913943847,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.002963380487651705,0.9244897858152694,3
0.6691559409354417,0.028934342461026046,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.0035197606039102836,0.919687104973197,3
0.679713984381484,0.03432599902586592,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.004141694235404159,0.91466176653582,3
0.6900449819752446,0.0403446763588061,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.004831655799263712,0.9094331227616076,3
0.7001514016064223,0.04701098107336824,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.005591779300907639,0.9040210965223374,3
0.710035711164716,0.05434138445911742,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.006423857793016086,0.898445848443574,3
0.7197003785398243,0.06234815430810287,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.007329347435738824,0.8927274904707108,3
0.7291478716214458,0.07103934764706346,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.008309375336842067,0.8868858450764072,3
0.7383806582992792,0.0804188570275306,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.009364750415430518,0.8809402478886421,3
0.7474012064630237,0.0904865030689179,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.010495976608844425,0.8749093900618007,3
0.7562119840023773,0.10123816619880083,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.011703267822863524,0.8688111964167003,3
0.764815458807039,0.1126659509251574,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.012986564105637834,0.8626627346362543,3
0.7732140987667077,0.1247583764557928,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.014345548602502515,0.8564801580168678,3
0.781410371771082,0.1375005880119264,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.015779664920028386,0.8502786424323057,3
0.7894067457098604,0.15087458373824325,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.017288134592304112,0.8440724084700483,3
0.797205688472742,0.16485945266989077,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.018869974400030878,0.8378746771001495,3
0.8048096679494252,0.17943161976104272,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.020524013343183996,0.8316976984364217,3
0.8122211520296089,0.1945650944963128,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.02224890911052223,0.8255527676785248,3
0.8194426086029916,0.21023172008652208,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.02404316392417805,0.8194502531459664,3
0.8264765055592721,0.22640142069070626,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.02590513966542284,0.8133996306287261,3
0.8333253107881493,0.24304244450741258,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.027833072209291244,0.8074095224047082,3
0.839991492179322,0.2601216009430057,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.029825084911999016,0.8014877395376563,3
0.8464775176224881,0.2776044903954356,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.03187920120687858,0.795641326272949,3
0.8527858550073475,0.295455725490441,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.033993356272648004,0.7898766055519071,3
0.858918972223598,0.31363914287435646,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.036165407742928146,0.7841992248242146,3
0.8648793371609386,0.3321180049044719,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.03839314542883848,0.7786142014836501,3
0.8706694177090679,0.35085519078516847,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.04067430002814345,0.7731259673804621,3
0.8762916817576849,0.36981337687739285,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.04300655079602787,0.7677384119838414,3
0.8817485971964883,0.38895520606194206,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.045387532155610914,0.7624549238618052,3
0.8870426319151765,0.40824344616539415,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.04781483923264367,0.7572784302333853,3
0.8921762538034486,0.4276411375625996,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.050286032310572354,0.7522114344246887,3
0.8971519307510029,0.4471117301530002,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.05279864022167733,0.7472560511142778,3
0.9019721306475383,0.4666192099705998,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.05535016271942682,0.7424140393181492,3
0.9066393213827536,0.4861282157302902,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.05793807191797719,0.7376868331001705,3
0.9111559708463474,0.5056041456378122,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.060559812936567564,0.7330755700422877,3
0.9155245469280183,0.5250132547987931,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.06321280394622245,0.7285811175453304,3
0.9197475175174654,0.5443227435571584,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.06589443587637366,0.7242040970546936,3
0.9238273505043871,0.56350083707906,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.06860207208741939,0.7199449063448536,3
0.9277665137784822,0.5825168564815713,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.0713330483347767,0.7158037400037467,3
0.9315674752294493,0.6013412817929678,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.07408467332035258,0.7117806082761527,3
0.9352327027469872,0.6199458070317466,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.07685423002876011,0.707875354421235,3
0.9387646642207949,0.6383033877121125,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.07963897786391794,0.7040876707232857,3
0.9421658275405704,0.6563882811297396,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.08243615533440286,0.7004171132652857,3
0.9454386605960131,0.6741760798544186,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.0852429826971035,0.6968631155310211,3
0.9485856312768214,0.6916437389519023,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.08805666359128021,0.6934250008441027,3
0.9516092074726941,0.7087695975662337,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.09087438432901507,0.6901019935950328,3
0.95451185707333,0.725533395602163,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.09369330921552622,0.6868932291461506,3
0.9572960479684275,0.7419162863381273,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.09651057012114914,0.6837977622553777,3
0.9599642480476854,0.7579008458567649,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.09932324858248362,0.6808145738257129,3
0.962518925200803,0.7734710801866284,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.10212834903512334,0.6779425757793226,3
0.964962547317478,0.7886124309926597,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.1049227624290892,0.6751806138686766,3
0.96729758228741,0.8033117805232346,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.1077032204936639,0.6725274682948582,3
0.9695264980002972,0.8175574563068599,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.11046624231718079,0.6699818520923418,3
0.9716517623458385,0.831339235781152,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.11320807665138388,0.6675424073866979,3
0.9736758432137326,0.8446483506187931,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.1159246453023171,0.6652076998359726,3
0.975601208493678,0.8574774899860064,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.11861149484818005,0.6629762118362866,3
0.977430326075374,0.8698208013430463,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.12126376528034151,0.6608463354123707,3
0.9791656638485186,0.8816738867282549,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.12387618442516245,0.6588163661038338,3
0.980809689702811,0.8930337918780001,0.3442920843,22063999.99999776,647.0959999999873,5.84934e-25,0.12644309562338188,0.6568844995811326,3
